Internal ID Variant (Do Not Edit);Category;SKU;Items Name (Do Not Edit);ecommerce item? (Yes/No);Pre-order ? (Yes/No);Processing days;Weight (gm);Length (cm);Width (cm);Height (cm);Condition;Brand Name;Variant name;Basic - Price;Image 1 (for Online Store);Image 2 (for Online Store);Image 3 (for Online Store);Image 4 (for Online Store);Image 5 (for Online Store);Image 6 (for Online Store);Image 7 (for Online Store);Image 8 (for Online Store);Image 9 (for Online Store);Image 10 (for Online Store);Image 11 (for Online Store);Image 12 (for Online Store);In Stock;Track Stock;Track Alert;Stock Alert;Track Cost;Cost Amount
90729587;LIQUID;;Kopi Djiwa Mocca Caramel Macchiato Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729588;LIQUID;;My Oats Salt Mochi;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729589;LIQUID;;My Oats Salt Coffee;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729590;LIQUID;;My Oats Salt Choco Banana;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729593;LIQUID;;Komodo Breakfast Salt Kiss of Death;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729594;MOD / POD;;Kuy Pod Mod;No;No;0;;;;;;Unbranded;;240000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729595;ACCESSORIES;;Cartridge Kuy Pod Mod;No;No;0;;;;;;Unbranded;;35000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729596;ACCESSORIES;;Coil Kuy Pod Mod 0.3 Ohm;No;No;0;;;;;;Unbranded;;35000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729597;ACCESSORIES;;Coil Kuy Pod Mod 0.15 Ohm;No;No;0;;;;;;Unbranded;;35000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729598;LIQUID;;Skcub Pods Blueberry Cheesecake;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729599;LIQUID;;Komodo Breakfast Salt Pink Beach;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;0;No;
